invoice_id,branch,city,state,customer_type,gender,product_name,product_line,unit_price,quantity,vat,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name,product_category
101-17-6199,"Banjara Hills",Hyderabad,Maharashtra,Prime,Male,"Oreo Biscuits","Food and beverages",45.79,8,19.2300,581.5700,"2026-01-29 02:19:34",19:44:00,"Credit card",384.64,4.761904716,27.7000,7.0,Evening,Thursday,January,Good
101-81-4070,Andheri,Mumbai,Maharashtra,Elite,Female,Shampoo,"Health and beauty",62.82,4,14.7700,410.2400,"2026-04-01 22:41:00",12:36:00,Ewallet,227.26,4.761904716,19.5500,4.9,Afternoon,Wednesday,April,Bad
102-06-2002,"Connaught Place",Delhi,Telangana,Elite,Male,"Gym Bag","Sports and travel",25.25,34,19.4300,587.9400,"2026-12-26 02:03:00",17:52:00,UPI,230.09,4.761904716,27.9900,6.1,Evening,Saturday,December,Bad
102-77-2261,Koramangala,Bangalore,Karnataka,Elite,Male,"Face Wash","Health and beauty",65.31,10,46.2500,1398.4400,"2026-06-23 02:48:00",18:02:00,"Credit card",642.29,4.761904716,66.5800,4.2,Evening,Tuesday,June,Good
105-10-6182,Whitefield,Bangalore,Delhi,Basic,Male,"Leather Wallet","Fashion accessories",21.48,3,4.0300,84.4500,"2026-02-28 10:45:13",12:22:00,UPI,42.96,4.761904716,4.0300,6.6,Afternoon,Saturday,February,Bad
105-31-1824,"Connaught Place",Delhi,Maharashtra,Elite,Male,Football,"Sports and travel",69.52,12,57.6500,1210.6100,"2026-10-05 11:07:06",15:10:00,UPI,886.90,4.761904716,57.6600,8.5,Afternoon,Monday,October,Good
106-35-6779,Hinjawadi,Pune,Maharashtra,Basic,Male,Bedsheet,"Home and lifestyle",44.34,2,3.5900,61.0900,"2026-01-12 18:28:03",11:26:00,Cash,88.68,4.761904716,2.9100,5.8,Morning,Monday,January,Bad
109-28-2512,Bandra,Mumbai,Maharashtra,Basic,Female,Handbag,"Fashion accessories",97.61,27,151.7500,4214.9300,"2026-10-02 10:49:16",15:01:00,Ewallet,2334.89,4.761904716,200.6800,9.9,Afternoon,Friday,October,Good
109-86-4363,Bandra,Mumbai,Telangana,Prime,Female,"Gym Bag","Sports and travel",60.08,12,49.8300,847.4600,"2026-12-31 15:23:39",11:36:00,"Credit Card",766.48,4.761904716,40.3600,4.5,Morning,Thursday,December,Good
110-05-6330,"Connaught Place",Delhi,Telangana,Basic,Female,"Nescafe Coffee","Food and beverages",39.43,7,21.3500,645.9800,"2026-03-18 03:06:01",20:18:00,"Credit card",328.66,4.761904716,30.7400,9.4,Evening,Wednesday,March,Bad
110-48-7033,Bandra,Mumbai,Maharashtra,Elite,Male,"Wrist Watch","Fashion accessories",32.62,4,8.4800,178.1100,"2026-01-06 16:21:36",14:12:00,"Credit Card",130.48,4.761904716,8.4800,9.0,Afternoon,Tuesday,January,Bad
114-35-5271,Andheri,Mumbai,Karnataka,Prime,Female,"Power Bank","Electronic accessories",57.91,11,42.3000,888.4500,"2026-05-14 18:56:13",15:06:00,"Credit Card",650.87,4.761904716,42.3000,7.7,Afternoon,Thursday,May,Good
115-38-7388,Gachibowli,Hyderabad,Maharashtra,Basic,Female,"Baseball Cap","Fashion accessories",10.18,34,16.2400,450.8500,"2026-11-05 20:33:45",12:51:00,"Credit card",324.69,4.761904716,21.4800,9.5,Afternoon,Thursday,November,Bad
115-99-4379,"Hitech City",Hyderabad,Delhi,Elite,Female,Sunglasses,"Fashion accessories",54.73,28,76.3700,3054.1500,"2026-10-01 04:15:32",19:02:00,"Credit card",1527.34,4.761904716,145.4400,8.5,Evening,Thursday,October,Good
118-62-1812,Indiranagar,Bangalore,Telangana,Basic,Female,Bedsheet,"Home and lifestyle",78.38,8,42.2500,1277.8900,"2026-08-22 15:51:31",17:56:00,Cash,451.46,4.761904716,60.8400,7.9,Evening,Saturday,August,Good
120-06-4233,Hinjawadi,Pune,Karnataka,Basic,Male,"Bluetooth Speaker","Electronic accessories",30.61,9,10.4400,440.0100,"2026-05-22 22:59:09",20:36:00,Cash,258.03,4.761904716,20.9500,7.0,Evening,Friday,May,Bad
120-54-2248,Saket,Delhi,Karnataka,Elite,Female,"Lay's Chips","Food and beverages",28.86,7,13.5100,408.4400,"2026-08-17 06:00:13",18:08:00,"Credit card",207.79,4.761904716,19.4500,8.0,Evening,Monday,August,Bad
122-61-9553,Kharadi,Pune,Telangana,Basic,Female,"Wireless Mouse","Electronic accessories",51.32,12,26.2800,794.7200,"2026-05-18 03:11:46",19:33:00,Cash,648.92,4.761904716,37.8500,7.2,Evening,Monday,May,Good
123-19-1176,Powai,Mumbai,Maharashtra,Elite,Male,Shampoo,"Health and beauty",58.22,12,43.6000,1318.3200,"2026-07-15 06:41:50",20:33:00,Ewallet,670.69,4.761904716,62.8000,8.4,Evening,Wednesday,July,Good
123-35-4896,Indiranagar,Bangalore,Karnataka,Basic,Female,"Gym Bag","Sports and travel",46.66,16,55.1200,1666.3400,"2026-10-15 02:29:03",19:11:00,UPI,765.34,4.761904716,79.3600,5.3,Evening,Thursday,October,Good
124-31-1458,Saket,Delhi,Maharashtra,Basic,Female,"Bluetooth Speaker","Electronic accessories",79.59,2,11.6300,244.4400,"2026-02-25 10:55:25",14:30:00,UPI,179.08,4.761904716,11.6400,6.5,Afternoon,Wednesday,February,Bad
125-45-2293,Saket,Delhi,Maharashtra,Elite,Female,Sunglasses,"Fashion accessories",99.10,35,200.3000,5563.0100,"2026-10-25 17:11:26",13:11:00,Cash,2370.49,4.761904716,264.9000,4.2,Afternoon,Sunday,October,Good
126-54-1082,"Banjara Hills",Hyderabad,Karnataka,Elite,Female,"Storage Basket","Home and lifestyle",21.54,9,9.6930,164.8800,"2026-02-18 12:18:37",11:44:00,"Credit card",193.86,4.761904716,7.8500,8.8,Morning,Wednesday,February,Bad
127-47-6963,"Connaught Place",Delhi,Maharashtra,Prime,Male,Sunscreen,"Health and beauty",51.71,6,24.3100,510.6900,"2026-03-03 07:10:48",13:53:00,UPI,374.13,4.761904716,24.3200,9.8,Afternoon,Tuesday,March,Bad
129-29-8530,Kharadi,Pune,Maharashtra,Basic,Male,"Travel Backpack","Sports and travel",62.62,9,23.1100,698.8700,"2026-12-29 01:37:41",19:15:00,Ewallet,570.63,4.761904716,33.2800,7.0,Evening,Tuesday,December,Good
130-67-4723,Kharadi,Pune,Karnataka,Basic,Male,"Tropicana Juice","Food and beverages",48.50,9,16.5600,347.7200,"2026-05-12 14:19:00",13:57:00,Cash,408.83,4.761904716,16.5600,9.4,Afternoon,Tuesday,May,Bad
130-98-8941,"Connaught Place",Delhi,Delhi,Elite,Male,"Baseball Cap","Fashion accessories",64.26,28,116.5600,1982.7900,"2026-11-26 17:21:50",10:00:00,UPI,1793.33,4.761904716,94.4300,5.7,Morning,Thursday,November,Good
131-15-8856,"Banjara Hills",Hyderabad,Delhi,Prime,Female,"Nescafe Coffee","Food and beverages",72.52,8,35.1800,1064.0800,"2026-11-29 09:03:56",19:26:00,"Credit card",541.36,4.761904716,50.6500,4.0,Evening,Sunday,November,Good
131-70-8179,Baner,Pune,Maharashtra,Elite,Female,"Lip Balm","Health and beauty",92.09,4,14.5500,581.7400,"2026-02-28 15:58:18",16:27:00,Cash,276.27,4.761904716,27.7000,4.2,Evening,Saturday,February,Bad
132-23-6451,Koramangala,Bangalore,Telangana,Basic,Male,Sunscreen,"Health and beauty",20.97,9,13.7800,288.9100,"2026-11-06 05:52:14",13:21:00,Cash,191.09,4.761904716,13.7800,7.8,Afternoon,Friday,November,Bad
132-32-9879,Kharadi,Pune,Maharashtra,Elite,Female,"USB Flash Drive","Electronic accessories",93.96,8,28.5000,861.6800,"2026-09-05 15:47:54",18:00:00,Cash,541.21,4.761904716,41.0400,6.5,Evening,Saturday,September,Good
133-14-7229,"Hitech City",Hyderabad,Delhi,Elite,Male,Shampoo,"Health and beauty",62.87,5,14.7700,251.4900,"2026-04-04 07:19:57",11:43:00,Cash,227.44,4.761904716,11.9900,5.0,Morning,Saturday,April,Bad
133-77-3154,Indiranagar,Bangalore,Maharashtra,Elite,Male,Handbag,"Fashion accessories",60.18,15,69.1000,2089.5400,"2026-10-05 21:08:08",18:04:00,UPI,959.70,4.761904716,99.5000,9.4,Evening,Monday,October,Bad
134-54-4720,Baner,Pune,Karnataka,Basic,Female,"Mechanical Keyboard","Electronic accessories",42.42,8,13.4000,281.4200,"2026-02-15 23:35:10",13:58:00,Cash,254.52,4.761904716,13.4000,6.6,Afternoon,Sunday,February,Good
134-75-2619,"Banjara Hills",Hyderabad,Maharashtra,Elite,Male,"USB Flash Drive","Electronic accessories",19.32,10,9.7300,410.0000,"2026-07-16 17:54:51",18:51:00,Cash,194.75,4.761904716,19.5200,7.1,Evening,Thursday,July,Bad
135-13-8269,Koramangala,Bangalore,Maharashtra,Prime,Female,Coca-Cola,"Food and beverages",78.88,2,13.6300,412.2000,"2026-02-12 08:05:38",16:04:00,UPI,189.31,4.761904716,19.6300,9.1,Evening,Thursday,February,Bad
135-84-8019,Whitefield,Bangalore,Maharashtra,Elite,Female,Handbag,"Fashion accessories",77.93,12,70.9700,2837.3300,"2026-05-05 16:33:38",16:10:00,Ewallet,985.36,4.761904716,135.1500,7.6,Evening,Tuesday,May,Good
136-08-6195,Whitefield,Bangalore,Telangana,Prime,Female,"Coffee Mug","Home and lifestyle",69.96,34,167.8800,5077.7900,"2026-06-06 01:48:31",17:01:00,UPI,1793.95,4.761904716,241.7500,6.4,Evening,Saturday,June,Good
137-63-5492,Hinjawadi,Pune,Maharashtra,Elite,Male,"Wireless Mouse","Electronic accessories",58.76,8,17.8500,521.9000,"2026-02-02 05:19:00",14:26:00,Cash,440.70,4.761904716,24.8600,6.8,Afternoon,Monday,February,Good
137-74-8729,"Banjara Hills",Hyderabad,Karnataka,Basic,Female,"Wrist Watch","Fashion accessories",12.19,34,19.4000,539.9000,"2026-11-03 12:44:21",12:47:00,Ewallet,388.79,4.761904716,25.7600,6.8,Afternoon,Tuesday,November,Bad
138-17-5109,Saket,Delhi,Maharashtra,Elite,Female,"Table Lamp","Home and lifestyle",89.21,9,52.1900,1095.9400,"2026-02-19 02:11:56",15:42:00,UPI,802.89,4.761904716,52.1900,6.5,Afternoon,Thursday,February,Good
139-20-0155,"Hitech City",Hyderabad,Maharashtra,Prime,Male,"Power Bank","Electronic accessories",40.30,10,19.6400,827.2300,"2026-01-18 23:07:41",17:37:00,"Credit card",302.25,4.761904716,39.3800,6.6,Evening,Sunday,January,Good
139-32-4183,Koramangala,Bangalore,Maharashtra,Basic,Female,"Yoga Mat","Sports and travel",97.48,28,184.6400,3877.6400,"2026-09-04 11:38:32",14:19:00,Ewallet,2564.59,4.761904716,184.6400,7.4,Afternoon,Friday,September,Good
139-52-2867,Saket,Delhi,Delhi,Prime,Female,"Baseball Cap","Fashion accessories",22.51,10,14.3900,323.7000,"2026-05-26 13:03:00",10:50:00,"Credit card",221.38,4.761904716,15.4200,4.8,Morning,Tuesday,May,Bad
142-63-6033,Koramangala,Bangalore,Telangana,Prime,Male,Bedsheet,"Home and lifestyle",92.36,7,47.8800,1447.8700,"2026-07-09 23:10:14",19:17:00,UPI,664.99,4.761904716,68.9500,4.9,Evening,Thursday,July,Good
142-72-4741,Saket,Delhi,Maharashtra,Prime,Male,"Baseball Cap","Fashion accessories",93.20,2,14.0300,424.1500,"2026-04-09 10:47:34",18:37:00,UPI,215.79,4.761904716,20.2200,6.0,Evening,Thursday,April,Bad
144-51-6085,Whitefield,Bangalore,Karnataka,Elite,Male,"Coffee Mug","Home and lifestyle",70.74,14,65.3200,1974.7600,"2026-06-10 20:31:45",16:05:00,"Credit card",907.00,4.761904716,94.0400,4.4,Evening,Wednesday,June,Bad
145-94-9061,Saket,Delhi,Delhi,Elite,Female,"Nescafe Coffee","Food and beverages",88.36,4,26.7900,810.3200,"2026-12-15 04:55:12",19:48:00,UPI,412.25,4.761904716,38.5900,9.6,Evening,Tuesday,December,Good
146-09-5432,Baner,Pune,Telangana,Basic,Male,"Tropicana Juice","Food and beverages",35.04,18,23.0600,697.4900,"2026-03-01 04:43:06",19:17:00,Ewallet,438.08,4.761904716,33.2200,4.6,Evening,Sunday,March,Good
148-41-7930,Baner,Pune,Maharashtra,Basic,Male,"Body Lotion","Health and beauty",99.96,10,40.8100,694.1400,"2026-07-01 21:22:11",10:33:00,Cash,1007.59,4.761904716,33.0500,6.1,Morning,Wednesday,July,Good
148-82-2527,Rohini,Delhi,Maharashtra,Elite,Female,"Table Lamp","Home and lifestyle",12.12,19,14.3500,301.5100,"2026-12-18 03:33:40",13:44:00,UPI,220.89,4.761904716,14.3500,8.4,Afternoon,Friday,December,Bad
149-14-0304,Gachibowli,Hyderabad,Telangana,Elite,Female,"Lip Balm","Health and beauty",28.50,20,27.0100,750.1200,"2026-11-07 19:20:02",14:24:00,Cash,415.53,4.761904716,35.7300,6.6,Afternoon,Saturday,November,Bad
149-15-7606,Andheri,Mumbai,Telangana,Elite,Male,"Travel Backpack","Sports and travel",37.32,12,30.6800,644.1200,"2026-06-24 23:17:46",15:31:00,Ewallet,471.89,4.761904716,30.6800,5.1,Afternoon,Wednesday,June,Good
149-61-1929,Powai,Mumbai,Maharashtra,Elite,Male,"Yoga Mat","Sports and travel",64.19,13,58.6200,1230.9700,"2026-06-03 04:37:18",14:08:00,"Credit card",901.82,4.761904716,58.6200,6.7,Afternoon,Wednesday,June,Good
149-71-6266,Saket,Delhi,Karnataka,Prime,Male,"Gym Bag","Sports and travel",78.07,36,173.5500,3644.7100,"2026-09-13 22:08:48",12:43:00,UPI,2053.93,4.761904716,173.5500,4.5,Afternoon,Sunday,September,Good
150-89-8043,Whitefield,Bangalore,Karnataka,Basic,Male,"Yoga Mat","Sports and travel",44.65,9,28.2000,592.0600,"2026-07-07 19:11:32",15:04:00,UPI,391.57,4.761904716,28.2000,6.2,Afternoon,Tuesday,July,Bad
151-16-1484,Whitefield,Bangalore,Delhi,Basic,Male,"Wireless Mouse","Electronic accessories",32.25,4,13.0300,381.5500,"2026-06-17 21:20:09",12:38:00,UPI,181.24,4.761904716,18.1500,7.8,Afternoon,Wednesday,June,Bad
151-27-8496,Saket,Delhi,Telangana,Elite,Female,"Bluetooth Speaker","Electronic accessories",56.13,3,10.9500,186.1800,"2026-01-27 16:39:11",11:43:00,UPI,168.39,4.761904716,8.8700,6.9,Morning,Tuesday,January,Bad
151-33-7434,Kharadi,Pune,Delhi,Prime,Female,"Nescafe Coffee","Food and beverages",67.77,1,3.1800,96.1000,"2026-04-03 04:23:18",20:43:00,"Credit card",78.46,4.761904716,4.5700,6.5,Evening,Friday,April,Bad
