invoice_id,branch,city,customer_type,gender,product_name,product_line,unit_price,quantity,vat,total,date,time,payment,cogs,gross_margin_pct,gross_income,rating,time_of_day,day_name,month_name,product_category
101-17-6199,Baner,Pune,Prime,Male,Nescafe Coffee,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13 0:00:00,19:44:00,Credit card,320.53,4.761904716,16.0265,7,Evening,Wednesday,March,Good
101-81-4070,Gachibowli,Hyderabad,Elite,Female,Face Wash,Health and beauty,62.82,2,6.282,131.922,2019-01-17 0:00:00,12:36:00,Ewallet,125.64,4.761904716,6.282,4.9,Afternoon,Thursday,January,Bad
102-06-2002,Bandra,Mumbai,Elite,Male,Gym Bag,Sports and travel,25.25,14,6.3125,132.5625,2019-03-20 0:00:00,17:52:00,Cash,126.25,4.761904716,6.3125,6.1,Evening,Wednesday,March,Bad
102-77-2261,Baner,Pune,Elite,Male,Face Wash,Health and beauty,65.31,7,22.8585,480.0285,2019-03-05 0:00:00,18:02:00,Credit card,457.17,4.761904716,22.8585,4.2,Evening,Tuesday,March,Good
105-10-6182,Powai,Mumbai,Basic,Male,Sunglasses,Fashion accessories,21.48,2,2.148,45.108,2019-02-27 0:00:00,12:22:00,Ewallet,42.96,4.761904716,2.148,6.6,Afternoon,Wednesday,February,Bad
105-31-1824,Whitefield,Bangalore,Elite,Male,Cricket Bat,Sports and travel,69.52,7,24.332,510.972,2019-02-01 0:00:00,15:10:00,Credit card,486.64,4.761904716,24.332,8.5,Afternoon,Friday,February,Good
106-35-6779,Bandra,Mumbai,Basic,Male,Wall Clock,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27 0:00:00,11:26:00,Cash,88.68,4.761904716,4.434,5.8,Morning,Wednesday,March,Bad
109-28-2512,Hitech City,Hyderabad,Basic,Female,Sunglasses,Fashion accessories,97.61,6,29.283,614.943,2019-01-07 0:00:00,15:01:00,Ewallet,585.66,4.761904716,29.283,9.9,Afternoon,Monday,January,Good
109-86-4363,Banjara Hills,Hyderabad,Prime,Female,Cricket Bat,Sports and travel,60.08,7,21.028,441.588,2019-02-14 0:00:00,11:36:00,Credit card,420.56,4.761904716,21.028,4.5,Morning,Thursday,February,Good
110-05-6330,Rohini,Delhi,Basic,Female,Nescafe Coffee,Food and beverages,39.43,6,11.829,248.409,2019-03-25 0:00:00,20:18:00,Credit card,236.58,4.761904716,11.829,9.4,Evening,Monday,March,Bad
110-48-7033,Hitech City,Hyderabad,Elite,Male,Baseball Cap,Fashion accessories,32.62,4,6.524,137.004,2019-01-29 0:00:00,14:12:00,Cash,130.48,4.761904716,6.524,9,Afternoon,Tuesday,January,Bad
